"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"PinHeader_1x02_P2.54mm_Horizontal";1;"POWER_5V";;;
2;"Q1";"TO-92_Inline";1;"2N7000";;;
3;"R1,R2,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"10K";;;
4;"J5";"PinHeader_1x05_P2.54mm_Horizontal";1;"Encoder";;;
5;"J3";"PinHeader_1x03_P2.54mm_Horizontal";1;"NeoPixelRing";;;
6;"J2,J4";"PinHeader_1x08_P2.54mm_Vertical";2;"Conn_01x08";;;
7;"U1";"wemos-d1-mini-connectors-only";1;"WeMos_mini";;;
8;"Q2";"TO-92_Inline";1;"2N3904";;;
9;",";"MountingHole_3.2mm_M3_ISO14580_Pad";2;"";;;
10;"C1";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"0.3uF";;;
11;"J6";"PinHeader_1x06_P2.54mm_Vertical";1;"ATTINY85";;;
12;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1K";;;
13;"U2";"DIP-8_W7.62mm_Socket_LongPads";1;"ATtiny85-20PU";;;
14;"Q3";"TO-220-3_Horizontal_TabDown-132";1;"IRF9540N";;;
